"test_study","n_test","n_control","n_crc","auc"
"FengQ_2015",107,61,46,0.853528153955808
"GuptaA_2019",60,30,30,0.811111111111111
"HanniganGD_2017",55,28,27,0.604497354497354
"ThomasAM_2018a",53,24,29,0.770114942528736
"ThomasAM_2018b",60,28,32,0.821428571428572
"ThomasAM_2019_c",80,40,40,0.91625
"VogtmannE_2016",104,52,52,0.707840236686391
"WirbelJ_2018",125,65,60,0.86974358974359
"YachidaS_2019",509,251,258,0.732820655363044
"YuJ_2015",128,54,74,0.80955955955956
"ZellerG_2014",114,61,53,0.834209712341479
