"species","n_studies_tested","n_sig","n_enriched_crc","n_depleted_crc","mean_diff"
"Parvimonas micra",11,7,7,0,1.16696152579605
"Gemella morbillorum",11,6,6,0,0.92300363930639
"Peptostreptococcus stomatis",11,6,6,0,0.915707327286441
"Dialister pneumosintes",11,6,6,0,0.751187833856329
"Fusobacterium nucleatum",11,5,5,0,0.697207997038085
"[Clostridium] symbiosum",11,3,3,0,0.851322204617973
"Solobacterium moorei",11,3,3,0,0.745873233878071
"Hungatella hathewayi",11,3,3,0,0.603806833114106
"Ruthenibacterium lactatiformans",11,3,3,0,0.468870507110716
"Prevotella copri",11,3,1,2,0.15647407652616
"Methanobrevibacter smithii",11,2,2,0,0.756289196250668
"Roseburia intestinalis",11,2,0,2,-0.683157087228089
"Eisenbergiella tayi",11,2,2,0,0.615463355620036
"Porphyromonas asaccharolytica",11,2,2,0,0.59025591784568
"Butyricimonas virosa",11,2,2,0,0.582923592200207
"Roseburia faecis",11,2,0,2,-0.484522295412515
"Flavonifractor plautii",11,2,2,0,0.44111431435332
"Enterocloster bolteae",11,2,2,0,0.414809603428024
"Bacteroides eggerthii",11,2,2,0,0.409248505649536
"Alistipes shahii",11,2,2,0,0.395929580887883
"Faecalibacterium prausnitzii",11,2,0,2,-0.351315636912505
"Porphyromonas uenonis",11,2,2,0,0.328118780528482
"Bacteroides nordii",11,2,2,0,0.319796524268683
"Enterocloster lavalensis",11,2,2,0,0.255238266908797
"Streptococcus mitis",11,2,2,0,0.248859997455505
"Erysipelatoclostridium ramosum",11,2,2,0,0.209581115487845
"Fretibacterium fastidiosum",11,2,2,0,0.176937037482294
NA,44,2,2,0,0.170257755605784
"Lachnospira pectinoschiza",11,2,1,1,-0.149936086884003
"Bacteroides fragilis",11,1,1,0,0.873216563320243
"Escherichia coli",11,1,1,0,0.691592299879507
"Intestinimonas butyriciproducens",11,1,1,0,0.582494813026095
"[Ruminococcus] gnavus",11,1,1,0,0.473981960306581
"Akkermansia muciniphila",11,1,1,0,0.450590479623952
"Prevotella sp. CAG:520",11,1,1,0,0.389565485967721
"Prevotella intermedia",11,1,1,0,0.388175721976452
"Streptococcus oralis",11,1,1,0,0.387039468464151
"Bacteroides thetaiotaomicron",11,1,1,0,0.386520447630839
"[Eubacterium] rectale",11,1,0,1,-0.382520301885823
"Ruminococcaceae bacterium D5",11,1,1,0,0.374971985137029
"Parabacteroides distasonis",11,1,1,0,0.356847929377707
"Bifidobacterium adolescentis",11,1,0,1,-0.355445821893167
"Parabacteroides merdae",11,1,1,0,0.345864351416756
"Odoribacter splanchnicus",11,1,1,0,0.337845721835203
"Holdemania filiformis",11,1,1,0,0.31331361686632
"Mogibacterium diversum",11,1,1,0,0.312530664924878
"Oscillibacter sp. CAG:241",11,1,1,0,0.30477745049572
"Enterocloster citroniae",11,1,1,0,0.303086649904442
"Alistipes finegoldii",11,1,1,0,0.301868579170156
"Morganella morganii",11,1,1,0,0.273301342569816
"Ligilactobacillus ruminis",11,1,0,1,-0.264321337731383
"Veillonella parvula",11,1,1,0,0.261273706673767
"Firmicutes bacterium CAG:238",11,1,1,0,0.229685741405638
"Phocaeicola plebeius",11,1,1,0,0.228240564387888
"Enterocloster clostridioformis",11,1,1,0,0.225423502480261
"Ruminococcaceae bacterium D16",11,1,1,0,0.221135801468609
"Lawsonibacter asaccharolyticus",11,1,1,0,0.213968374330623
"Lancefieldella parvula",11,1,1,0,0.210943674116189
"Allisonella histaminiformans",11,1,1,0,0.200004001028578
"Harryflintia acetispora",11,1,1,0,0.198833580969888
"[Clostridium] innocuum",11,1,1,0,0.197268133340236
"Anaerococcus vaginalis",11,1,1,0,0.19576490625202
"Bacteroides sp. CAG:530",11,1,1,0,0.19469327276151
"Parabacteroides goldsteinii",11,1,1,0,0.187613657656295
"Anaerostipes hadrus",11,1,0,1,-0.186390069932368
"Collinsella intestinalis",11,1,1,0,0.18632667494693
"Fusobacterium sp. oral taxon 370",11,1,1,0,0.181707130557093
"Faecalicoccus pleomorphus",11,1,1,0,0.180514465844647
"Alloprevotella tannerae",11,1,1,0,0.175449325633808
"Lactobacillus crispatus",11,1,1,0,0.171244626323652
"Dielma fastidiosa",11,1,1,0,0.165547866824045
"Eubacterium ventriosum",11,1,0,1,-0.160436036877406
"Fusicatenibacter saccharivorans",11,1,0,1,-0.144177132472498
"Bacteroides cellulosilyticus",11,1,1,0,0.138676982359304
"Collinsella aerofaciens",11,1,1,0,0.138001453605957
"Enterocloster aldenensis",11,1,1,0,0.13021873252775
"Lactobacillus rogosae",11,1,1,0,-0.106832688829789
"Megasphaera elsdenii",11,1,0,1,-0.106735114225701
"Selenomonas sputigena",11,1,1,0,0.106230677246199
"[Eubacterium] infirmum",11,1,1,0,0.105500892473405
"Actinomyces sp. HMSC035G02",11,1,1,0,0.101106668195582
"Enterococcus gallinarum",11,1,1,0,0.0844936525684191
"Bacteroides xylanisolvens",11,1,1,0,0.0730926454119162
"Enorma massiliensis",11,1,1,0,0.0693725960062436
"Adlercreutzia caecimuris",11,1,1,0,-0.0682399070669321
"Fructilactobacillus sanfranciscensis",11,1,1,0,0.0630884152813864
"Ruminococcus sp. CAG:403",11,1,1,0,0.0613572849378218
"Bacteroides clarus",11,1,1,0,0.0567163228069338
"Lacrimispora saccharolytica",11,1,1,0,0.0522930922165519
"Rothia dentocariosa",11,1,1,0,0.0488799809262295
"Bacteroides intestinalis",11,1,1,0,0.0471983310507944
"[Ruminococcus] torques",11,1,1,0,0.0368532613152517
"Enterococcus faecium",11,1,1,0,0.0330694365502338
"Veillonella dispar",11,1,1,0,-0.0319103758699103
"Oribacterium parvum",11,1,1,0,0.0292575304803934
"Streptococcus sanguinis",11,1,1,0,0.0130656723054336
"Streptococcus parasanguinis",11,1,1,0,-0.00695327146135889
"Lachnospira eligens",11,0,0,0,-0.52164707228262
"Eubacterium sp. CAG:180",11,0,0,0,0.485087583877301
"Streptococcus salivarius",11,0,0,0,-0.473379363863343
"Prevotella stercorea",11,0,0,0,0.434292582606777
"Anaerotruncus colihominis",11,0,0,0,0.42231351725922
"Eubacterium sp. CAG:251",11,0,0,0,-0.388747259037307
"Bilophila wadsworthia",11,0,0,0,0.383102665932522
"Clostridium sp. CAG:58",11,0,0,0,0.381503288794681
"Prevotella sp. CAG:279",11,0,0,0,0.378606473946059
"Bacteroides salyersiae",11,0,0,0,0.348180632753457
"Peptostreptococcus anaerobius",11,0,0,0,0.339703611671449
"[Clostridium] leptum",11,0,0,0,0.331389028432292
"Bifidobacterium pseudocatenulatum",11,0,0,0,-0.328933676338617
"Dialister sp. CAG:357",11,0,0,0,-0.32863621863962
"Firmicutes bacterium CAG:145",11,0,0,0,0.32842014928252
"Ruminococcus bicirculans",11,0,0,0,-0.314442115366037
"Alistipes indistinctus",11,0,0,0,0.308045056091167
"Bacteroides caccae",11,0,0,0,0.290310943947666
"Pseudoflavonifractor sp. An184",11,0,0,0,0.274524111939868
