"study_name","species","n_control","n_crc","mean_control","mean_crc","sd_control","sd_crc","pooled_sd","smd","se_smd"
"FengQ_2015","Dialister pneumosintes",61,46,-5,-4.20237027180723,0,1.56754818245068,1.02620117165296,0.7772644879249,0.202507853184738
"FengQ_2015","Fusobacterium nucleatum",61,46,-5,-3.95122103950666,0,1.56948391112841,1.02746840353733,1.02074083921475,0.207591083886945
"FengQ_2015","Gemella morbillorum",61,46,-4.6840879099994,-3.57041195691382,0.837098359185147,1.65927108479387,1.25712121533406,0.885893849774575,0.204620999890418
"FengQ_2015","Parvimonas micra",61,46,-4.78868936080572,-3.55918739440928,0.727691078956467,1.78471863157702,1.29138900896149,0.952077149382884,0.206031565317424
"FengQ_2015","Peptostreptococcus stomatis",61,46,-4.87040900041885,-4.04460006230519,0.524510942535001,1.67485938125128,1.16593976542849,0.708277530795227,0.201299319928279
"GuptaA_2019","Dialister pneumosintes",30,30,-5,-3.93155815976803,0,1.97984545956724,1.39996215016139,0.763193376412927,0.267745978802572
"GuptaA_2019","Fusobacterium nucleatum",30,30,-5,-4.45743293738858,0,1.42154474491853,1.00518392889199,0.539768938814504,0.26301769706819
"GuptaA_2019","Gemella morbillorum",30,30,-5,-4.777933270687,0,0.855818164895293,0.605154827860089,0.366958535385492,0.260437163975365
"GuptaA_2019","Parvimonas micra",30,30,-5,-3.67654530483129,0,2.10689232489352,1.4897978501621,0.888345150333459,0.271053030176218
"GuptaA_2019","Peptostreptococcus stomatis",30,30,-5,-4.46213582955046,0,1.2513219347639,0.884818225519024,0.607880980451134,0.264295625685088
"HanniganGD_2017","Dialister pneumosintes",28,27,-5,-5,0,0,0,NA,NA
"HanniganGD_2017","Fusobacterium nucleatum",28,27,-5,-5,0,0,0,NA,NA
"HanniganGD_2017","Gemella morbillorum",28,27,-5,-4.84908628929911,0,0.784170643478073,0.549236409050478,0.27477004112271,0.271041645256911
"HanniganGD_2017","Parvimonas micra",28,27,-5,-5,0,0,0,NA,NA
