"study_name","feature_id","species","n_control","n_crc","mean_control","mean_crc","median_control","median_crc","diff_mean","p_value","fdr","direction"
"FengQ_2015","k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella|s__Prevotella_copri","Prevotella copri",61,46,-4.29903807616553,-1.63415870846114,-5,-1.6574399855794,2.66487936770439,3.38296198196168e-10,1.95535202557385e-07,"enriched_in_crc"
"FengQ_2015","k__Bacteria|p__Fusobacteria|c__Fusobacteriia|o__Fusobacteriales|f__Fusobacteriaceae|g__Fusobacterium|s__Fusobacterium_nucleatum","Fusobacterium nucleatum",61,46,-5,-3.95122103950666,-5,-5,1.04877896049334,1.89759947893472e-06,0.000548406249412135,"enriched_in_crc"
"FengQ_2015","k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Odoribacteraceae|g__Butyricimonas|s__Butyricimonas_virosa","Butyricimonas virosa",61,46,-4.0928578025517,-2.67290509383582,-5,-2.03774405923838,1.41995270871588,2.75122757325022e-05,0.00318041907467725,"enriched_in_crc"
"FengQ_2015","k__Bacteria|p__Firmicutes|c__Tissierellia|o__Tissierellales|f__Peptoniphilaceae|g__Parvimonas|s__Parvimonas_micra","Parvimonas micra",61,46,-4.78868936080572,-3.55918739440928,-5,-5,1.22950196639644,1.74227582006572e-05,0.00318041907467725,"enriched_in_crc"
"FengQ_2015","k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae|g__Porphyromonas|s__Porphyromonas_asaccharolytica","Porphyromonas asaccharolytica",61,46,-4.95529955395038,-3.96921356752034,-5,-5,0.986085986430042,2.3665039639266e-05,0.00318041907467725,"enriched_in_crc"
"FengQ_2015","k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae|g__Faecalicoccus|s__Faecalicoccus_pleomorphus","Faecalicoccus pleomorphus",61,46,-4.89916049452996,-3.79745812447734,-5,-5,1.10170237005261,3.89365720636291e-05,0.00375088977546293,"enriched_in_crc"
"FengQ_2015","k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Bacillales_unclassified|g__Gemella|s__Gemella_morbillorum","Gemella morbillorum",61,46,-4.6840879099994,-3.57041195691382,-5,-5,1.11367595308558,4.90872523357269e-05,0.00405320455000716,"enriched_in_crc"
"FengQ_2015","k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae|g__Porphyromonas|s__Porphyromonas_uenonis","Porphyromonas uenonis",61,46,-5,-4.25241000722287,-5,-5,0.747589992777127,6.34707797936101e-05,0.00458576384008833,"enriched_in_crc"
"FengQ_2015","k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales|f__Veillonellaceae|g__Dialister|s__Dialister_pneumosintes","Dialister pneumosintes",61,46,-5,-4.20237027180723,-5,-5,0.797629728192769,0.000147958765644461,0.0095022407269443,"enriched_in_crc"
"FengQ_2015","k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanobrevibacter|s__Methanobrevibacter_smithii","Methanobrevibacter smithii",61,46,-3.63011090586112,-1.9156461822118,-5,-1.5091665640208,1.71446472364932,0.000216953442050728,0.0125399089505321,"enriched_in_crc"
"FengQ_2015","k__Bacteria|p__Firmicutes|c__Tissierellia|o__Tissierellales|f__Peptoniphilaceae|g__Anaerococcus|s__Anaerococcus_vaginalis","Anaerococcus vaginalis",61,46,-5,-4.45038690397242,-5,-5,0.549613096027579,0.000341207917272087,0.0179289251075697,"enriched_in_crc"
"FengQ_2015","k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Lachnospira|s__Lachnospira_pectinoschiza","Lachnospira pectinoschiza",61,46,-3.65459704835231,-2.14241932318717,-5,-1.68467390719079,1.51217772516515,0.000388136452286417,0.0186952391184624,"enriched_in_crc"
